,code,name
0,000006,深振业Ａ
1,000012,南  玻Ａ
2,000021,深科技
3,000028,国药一致
4,000030,富奥股份
5,000031,中粮地产
6,000049,德赛电池
7,000062,深圳华强
8,000066,长城电脑
9,000078,海王生物
10,000088,盐田港
11,000090,天健集团
12,000099,中信海直
13,000401,冀东水泥
14,000415,渤海租赁
15,000417,合肥百货
16,000418,小天鹅Ａ
17,000422,湖北宜化
18,000426,兴业矿业
19,000488,晨鸣纸业
20,000501,鄂武商Ａ
21,000511,烯碳新材
22,000513,丽珠集团
23,000519,江南红箭
24,000525,红 太 阳
25,000528,柳工
26,000540,中天城投
27,000541,佛山照明
28,000543,皖能电力
29,000547,闽福发Ａ
30,000550,江铃汽车
31,000552,靖远煤电
32,000563,陕国投Ａ
33,000566,海南海药
34,000572,海马汽车
35,000582,北部湾港
36,000587,金叶珠宝
37,000592,平潭发展
38,000596,古井贡酒
39,000600,建投能源
40,000603,盛达矿业
41,000612,焦作万方
42,000616,海航投资
43,000620,新华联
44,000631,顺发恒业
45,000636,风华高科
46,000650,仁和药业
47,000652,泰达股份
48,000656,金科股份
49,000661,长春高新
50,000667,美好集团
51,000669,金鸿能源
52,000671,阳光城
53,000680,山推股份
54,000681,视觉中国
55,000685,中山公用
56,000688,建新矿业
57,000690,宝新能源
58,000693,华泽钴镍
59,000697,炼石有色
60,000703,恒逸石化
61,000718,苏宁环球
62,000719,大地传媒
63,000726,鲁  泰Ａ
64,000732,泰禾集团
65,000735,罗牛山
66,000748,长城信息
67,000758,中色股份
68,000762,西藏矿业
69,000777,中核科技
70,000780,平庄能源
71,000786,北新建材
72,000788,北大医药
73,000816,智慧农业
74,000823,超声电子
75,000829,天音控股
76,000830,鲁西化工
77,000848,承德露露
78,000850,华茂股份
79,000852,江钻股份
80,000860,顺鑫农业
81,000861,海印股份
82,000869,张  裕Ａ
83,000877,天山股份
84,000887,中鼎股份
85,000897,津滨发展
86,000900,现代投资
87,000919,金陵药业
88,000921,海信科龙
89,000926,福星股份
90,000930,中粮生化
91,000931,中关村
92,000933,神火股份
93,000939,凯迪电力
94,000951,中国重汽
95,000961,中南建设
96,000962,东方钽业
97,000969,安泰科技
98,000973,佛塑科技
99,000975,银泰资源
100,000979,中弘股份
101,000988,华工科技
102,000997,新 大 陆
103,000998,隆平高科
104,001696,宗申动力
105,002004,华邦颖泰
106,002005,德豪润达
107,002011,盾安环境
108,002013,中航机电
109,002018,华信国际
110,002022,科华生物
111,002025,航天电器
112,002028,思源电气
113,002029,七匹狼
114,002030,达安基因
115,002041,登海种业
116,002048,宁波华翔
117,002049,同方国芯
118,002050,三花股份
119,002056,横店东磁
120,002063,远光软件
121,002064,华峰氨纶
122,002069,獐子岛
123,002073,软控股份
124,002078,太阳纸业
125,002091,江苏国泰
126,002092,中泰化学
127,002093,国脉科技
128,002106,莱宝高科
129,002118,紫鑫药业
130,002122,天马股份
131,002128,露天煤业
132,002140,东华科技
133,002143,印纪传媒
134,002155,湖南黄金
135,002161,远望谷
136,002168,深圳惠程
137,002174,游族网络
138,002179,中航光电
139,002181,粤传媒
140,002183,怡亚通
141,002190,成飞集成
142,002191,劲嘉股份
143,002194,武汉凡谷
144,002195,二三四五
145,002203,海亮股份
146,002204,大连重工
147,002216,三全食品
148,002219,恒康医疗
149,002221,东华能源
150,002223,鱼跃医疗
151,002225,濮耐股份
152,002233,塔牌集团
153,002237,恒邦股份
154,002238,天威视讯
155,002240,威华股份
156,002242,九阳股份
157,002244,滨江集团
158,002249,大洋电机
159,002250,联化科技
160,002251,步步高
161,002254,泰和新材
162,002266,浙富控股
163,002267,陕天然气
164,002269,美邦服饰
165,002271,东方雨虹
166,002273,水晶光电
167,002275,桂林三金
168,002276,万马股份
169,002277,友阿股份
170,002281,光迅科技
171,002285,世联行
172,002293,罗莱家纺
173,002299,圣农发展
174,002308,威创股份
175,002309,中利科技
176,002311,海大集团
177,002315,焦点科技
178,002317,众生药业
179,002325,洪涛股份
180,002327,富安娜
181,002332,仙琚制药
182,002340,格林美
183,002342,巨力索具
184,002345,潮宏基
185,002358,森源电气
186,002368,太极股份
187,002371,七星电子
188,002373,千方科技
189,002384,东山精密
190,002390,信邦制药
191,002392,北京利尔
192,002393,力生制药
193,002396,星网锐捷
194,002400,省广股份
195,002405,四维图新
196,002408,齐翔腾达
197,002414,高德红外
198,002419,天虹商场
199,002424,贵州百灵
200,002428,云南锗业
201,002430,杭氧股份
202,002431,棕榈园林
203,002437,誉衡药业
204,002440,闰土股份
205,002444,巨星科技
206,002461,珠江啤酒
207,002463,沪电股份
208,002466,天齐锂业
209,002477,雏鹰农牧
210,002479,富春环保
211,002480,新筑股份
212,002482,广田股份
213,002489,浙江永强
214,002490,山东墨龙
215,002503,搜于特
216,002508,老板电器
217,002551,尚荣医疗
218,002557,洽洽食品
219,002573,清新环境
220,002574,明牌珠宝
221,002588,史丹利
222,002595,豪迈科技
223,002635,安洁科技
224,002642,荣之联
225,002646,青青稞酒
226,002648,卫星石化
227,002662,京威股份
228,002663,普邦园林
229,002665,首航节能
230,002672,东江环保
231,002678,珠江钢琴
232,002681,奋达科技
233,002698,博实股份
234,002701,奥瑞金
235,002705,新宝股份
236,002727,一心堂
237,300033,同花顺
238,300039,上海凯宝
239,300043,互动娱乐
240,300072,三聚环保
241,300088,长信科技
242,300115,长盈精密
243,300134,大富科技
244,300144,宋城演艺
245,300147,香雪制药
246,300199,翰宇药业
247,300202,聚龙股份
248,300244,迪安诊断
249,300253,卫宁软件
250,300267,尔康制药
251,300273,和佳股份
252,300274,阳光电源
253,300291,华录百纳
254,600004,白云机场
255,600006,东风汽车
256,600017,日照港
257,600021,上海电力
258,600026,中海发展
259,600037,歌华有线
260,600039,四川路桥
261,600056,中国医药
262,600058,五矿发展
263,600059,古越龙山
264,600062,华润双鹤
265,600064,南京高科
266,600067,冠城大通
267,600073,上海梅林
268,600079,人福医药
269,600086,东方金钰
270,600088,中视传媒
271,600110,中科英华
272,600112,天成控股
273,600120,浙江东方
274,600122,宏图高科
275,600125,铁龙物流
276,600132,重庆啤酒
277,600138,中青旅
278,600141,兴发集团
279,600143,金发科技
280,600151,航天机电
281,600158,中体产业
282,600160,巨化股份
283,600161,天坛生物
284,600169,太原重工
285,600171,上海贝岭
286,600175,美都能源
287,600176,中国巨石
288,600180,瑞茂通
289,600183,生益科技
290,600184,光电股份
291,600187,国中水务
292,600195,中牧股份
293,600198,大唐电信
294,600199,金种子酒
295,600200,江苏吴中
296,600201,金宇集团
297,600216,浙江医药
298,600219,南山铝业
299,600220,江苏阳光
300,600240,华业资本
301,600251,冠农股份
302,600259,广晟有色
303,600260,凯乐科技
304,600261,阳光照明
305,600267,海正药业
306,600270,外运发展
307,600280,中央商场
308,600284,浦东建设
309,600289,亿阳信通
310,600292,中电远达
311,600298,安琪酵母
312,600300,维维股份
313,600312,平高电气
314,600320,振华重工
315,600325,华发股份
316,600329,中新药业
317,600335,国机汽车
318,600337,美克家居
319,600351,亚宝药业
320,600366,宁波韵升
321,600376,首开股份
322,600380,健康元
323,600387,海越股份
324,600389,江山股份
325,600392,盛和资源
326,600395,盘江股份
327,600397,安源煤业
328,600403,大有能源
329,600409,三友化工
330,600410,华胜天成
331,600416,湘电股份
332,600418,江淮汽车
333,600422,昆药集团
334,600425,青松建化
335,600426,华鲁恒升
336,600428,中远航运
337,600429,三元股份
338,600433,冠豪高新
339,600435,北方导航
340,600436,片仔癀
341,600446,金证股份
342,600456,宝钛股份
343,600458,时代新材
344,600460,士兰微
345,600468,百利电气
346,600478,科力远
347,600481,双良节能
348,600482,风帆股份
349,600487,亨通光电
350,600488,天药股份
351,600496,精工钢构
352,600498,烽火通信
353,600499,科达洁能
354,600500,中化国际
355,600507,方大特钢
356,600509,天富能源
357,600510,黑牡丹
358,600511,国药股份
359,600517,置信电气
360,600521,华海药业
361,600522,中天科技
362,600525,长园集团
363,600528,中铁二局
364,600536,中国软件
365,600537,亿晶光电
366,600545,新疆城建
367,600546,山煤国际
368,600551,时代出版
369,600557,康缘药业
370,600563,法拉电子
371,600566,济川药业
372,600572,康恩贝
373,600575,皖江物流
374,600580,卧龙电气
375,600584,长电科技
376,600586,金晶科技
377,600587,新华医疗
378,600594,益佰制药
379,600596,新安股份
380,600601,方正科技
381,600611,大众交通
382,600614,鼎立股份
383,600617,国新能源
384,600618,氯碱化工
385,600628,新世界
386,600635,大众公用
387,600636,三爱富
388,600639,浦东金桥
389,600640,号百控股
390,600643,爱建股份
391,600645,中源协和
392,600651,飞乐音响
393,600654,中安消
394,600655,豫园商城
395,600657,信达地产
396,600664,哈药股份
397,600673,东阳光科
398,600675,中华企业
399,600685,中船防务
400,600694,大商股份
401,600699,均胜电子
402,600702,沱牌舍得
403,600704,物产中大
404,600720,祁连山
405,600729,重庆百货
406,600736,苏州高新
407,600737,中粮屯河
408,600743,华远地产
409,600747,大连控股
410,600748,上实发展
411,600750,江中药业
412,600754,锦江股份
413,600755,厦门国贸
414,600757,长江传媒
415,600759,洲际油气
416,600761,安徽合力
417,600765,中航重机
418,600770,综艺股份
419,600773,西藏城投
420,600776,东方通信
421,600780,通宝能源
422,600787,中储股份
423,600790,轻纺城
424,600797,浙大网新
425,600801,华新水泥
426,600803,新奥股份
427,600805,悦达投资
428,600808,马钢股份
429,600811,东方集团
430,600812,华北制药
431,600816,安信信托
432,600823,世茂股份
433,600825,新华传媒
434,600826,兰生股份
435,600831,广电网络
436,600835,上海机电
437,600850,华东电脑
438,600851,海欣股份
439,600859,王府井
440,600864,哈投股份
441,600869,智慧能源
442,600872,中炬高新
443,600874,创业环保
444,600879,航天电子
445,600880,博瑞传播
446,600881,亚泰集团
447,600884,杉杉股份
448,600885,宏发股份
449,600894,广日股份
450,600895,张江高科
451,600917,重庆燃气
452,600967,北方创业
453,600970,中材国际
454,600971,恒源煤电
455,600978,宜华木业
456,600983,惠而浦
457,600993,马应龙
458,600997,开滦股份
459,601000,唐山港
460,601001,大同煤业
461,601002,晋亿实业
462,601005,重庆钢铁
463,601010,文峰股份
464,601012,隆基股份
465,601101,昊华能源
466,601126,四方股份
467,601139,深圳燃气
468,601208,东材科技
469,601226,华电重工
470,601233,桐昆股份
471,601311,骆驼股份
472,601369,陕鼓动力
473,601515,东风股份
474,601608,中信重工
475,601666,平煤股份
476,601678,滨化股份
477,601717,郑煤机
478,601718,际华集团
479,601777,力帆股份
480,601801,皖新传媒
481,601880,大连港
482,601886,江河创建
483,601908,京运通
484,601965,中国汽研
485,601999,出版传媒
486,603001,奥康国际
487,603005,晶方科技
488,603019,中科曙光
489,603077,和邦股份
490,603169,兰石重装
491,603188,亚邦股份
492,603328,依顿电子
493,603366,日出东方
494,603369,今世缘
495,603555,贵人鸟
496,603698,航天工程
497,603699,纽威股份
498,603766,隆鑫通用
499,603899,晨光文具
